searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
el alto,El Alto,PE,-4.2714,-81.2147,77.0,65,40,12.66
murgab,Murgab,TM,37.4966,61.9714,78.8,31,0,4.61
siavonga,Siavonga,ZM,-16.5382,28.7088,74.03,54,0,2.06
saint anthony,Saint Anthony,US,45.0205,-93.218,64.4,52,20,3.44
levokumskoye,Levokumskoye,RU,44.8219,44.6606,73.89,33,1,11.48
abu zabad,Abū Zabad,SD,12.35,29.25,97.68,16,16,5.57
baracoa,Baracoa,CU,20.3467,-74.4958,85.75,57,15,6.55
kathu,Kathu,TH,7.9178,98.3332,85.6,94,20,3.44
mao,Mahon,ES,39.8885,4.2658,66.2,77,20,14.97
plaridel,Plaridel,PH,14.8872,120.8572,84.65,74,20,9.22
moose factory,Moose Factory,CA,51.2585,-80.6094,39.2,81,90,4.61
san cristobal,San Cristobal,VE,7.7669,-72.225,86.0,66,40,8.05
ewa beach,‘Ewa Beach,US,21.3156,-158.0072,69.42,78,1,5.75
muli,Muli,MV,2.9167,73.5667,83.21,71,100,15.46
berlevag,Berlevåg,NO,70.8578,29.0864,37.4,75,75,11.5
havelock,Havelock,US,34.8791,-76.9013,70.86,39,0,5.01
tingi,Tingi,TZ,-11.3,35.0333,60.75,82,72,2.37
mirebalais,Mirebalais,HT,18.8333,-72.1053,91.94,41,2,1.61
bandarbeyla,Bandarbeyla,SO,9.4942,50.8122,88.83,61,99,23.89
shenkursk,Shenkursk,RU,62.1091,42.896,67.41,60,100,5.1
fukue,Fukuechō,JP,32.6881,128.8419,71.55,97,92,14.27
iralaya,Iralaya,HN,15.0,-83.2333,86.0,79,40,5.75
denpasar,Denpasar,ID,-8.65,115.2167,80.6,89,20,11.5
laredo,Laredo,US,27.5064,-99.5075,77.11,73,90,18.41
mirante do paranapanema,Mirante do Paranapanema,BR,-22.2919,-51.9064,80.6,36,0,2.8
mapiripan,Mapiripán,CO,2.8892,-72.1256,82.17,78,87,4.0
onda,Onda,ES,39.9667,-0.25,87.93,22,0,9.22
tura,Tura,IN,25.5198,90.2201,72.23,82,8,5.88
leningradskiy,Leningradskiy,RU,69.3833,178.4167,17.62,96,98,3.2
caidian,Tsaitien,CN,30.5833,114.0333,73.4,100,20,2.24
amapa,Amapá,BR,1.0,-52.0,78.96,89,94,2.8
humaita,Humaitá,BR,-7.5061,-63.0208,91.17,48,95,4.0
sola,Sola,VU,-13.8833,167.55,75.2,100,20,6.42
lagoa,Lagoa,PT,39.05,-27.9833,63.95,92,100,25.57
labuhan,Labuhan,ID,-6.8844,112.2051,79.0,81,17,5.39
tilichiki,Tilichiki,RU,60.4667,166.1,22.51,91,63,3.6
waycross,Waycross,US,31.2136,-82.354,74.68,29,1,9.22
korla,Korla,CN,41.7597,86.1469,67.53,27,100,16.96
