searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
itaueira,Itaueira,BR,-7.6033,-43.0256,87.03,43,98,10.63
mahebourg,Mahébourg,MU,-20.4081,57.7,77.0,78,40,14.97
seydisehir,Seydişehir,TR,37.4193,31.8453,69.31,32,43,6.22
salimpur,Salimpur,IN,28.128,76.2766,88.41,31,58,5.26
kavieng,Kavieng,PG,-2.5744,150.7967,83.97,78,17,15.7
norman wells,Norman Wells,CA,65.282,-126.8329,39.2,70,40,10.36
mount isa,Mount Isa,AU,-20.7333,139.5,60.8,31,0,13.8
egvekinot,Egvekinot,RU,66.3167,-179.1667,23.18,88,78,10.38
saskylakh,Saskylakh,RU,71.9167,114.0833,14.67,92,99,11.56
greensboro,Greensboro,US,36.0726,-79.792,71.02,32,20,4.61
jamestown,Jamestown,US,42.097,-79.2353,64.94,27,40,6.91
hobyo,Hobyo,SO,5.3505,48.5268,82.26,79,72,26.13
yen bai,Yen Bai,VN,21.7,104.8667,80.46,91,8,3.29
balikpapan,Balikpapan,ID,-1.2675,116.8289,78.28,90,100,7.2
itoman,Itoman,JP,26.1247,127.6694,78.55,94,75,16.11
kahului,Kahului,US,20.8947,-156.47,66.02,78,20,6.91
vidim,Vidim,RU,56.4088,103.1106,44.78,93,100,9.13
am timan,Am Timan,TD,11.0297,20.2827,99.12,25,73,5.55
calama,Calama,CL,-22.4667,-68.9333,69.8,14,0,6.91
north platte,North Platte,US,41.1239,-100.7654,66.06,68,20,8.05
nador,Nador,MA,35.174,-2.9287,75.87,60,0,5.75
asau,Asău,RO,46.4333,26.4,68.0,56,40,10.36
pemangkat,Pemangkat,ID,1.1667,108.9667,80.67,80,100,1.21
saldanha,Saldanha,ZA,-33.0117,17.9442,59.0,100,100,14.97
rawson,Rawson,AR,-43.3002,-65.1023,60.26,41,0,10.76
viytivka,Viytivka,UA,48.426,29.5429,63.59,67,46,5.64
taoudenni,Taoudenni,ML,22.6783,-3.9836,107.28,6,43,4.43
lamu,Lamu,KE,-2.2717,40.902,79.41,83,96,15.26
esik,Esik,KZ,43.3552,77.4525,53.6,62,75,4.47
axim,Esim,GH,4.8699,-2.2405,84.67,67,64,6.91
louga,Luga,RU,58.7372,29.8453,60.75,89,97,4.5
pevek,Pevek,RU,69.7008,170.3133,14.67,97,96,2.86
narsaq,Narsaq,GL,60.9167,-46.05,50.0,20,20,6.91
husavik,Husavik,IS,66.0449,-17.3389,41.0,65,90,12.66
afzalpur,Afzalpur,IN,17.2,76.35,84.92,60,99,23.53
upernavik,Upernavik,GL,72.7868,-56.1549,33.08,82,70,3.44
masterton,Masterton,NZ,-40.9597,175.6575,55.51,74,60,5.01
semey,Semey,KZ,50.4111,80.2275,59.0,38,0,6.71
vila franca do campo,Vila Franca do Campo,PT,37.7167,-25.4333,68.0,88,75,11.5
nurota,Nurota,UZ,40.5614,65.6886,78.8,21,0,11.5
livingston,Livingston,GB,55.9029,-3.5226,51.62,66,0,10.36
missoula,Missoula,US,47.0166,-113.8009,59.16,38,1,1.61
acapulco,Acapulco de Juárez,MX,16.8634,-99.8901,89.6,58,75,2.3
vrangel,Vrangel',RU,42.7297,133.0839,49.77,98,90,4.97
luganville,Luganville,VU,-15.5333,167.1667,78.08,88,8,3.47
coihaique,Coyhaique,CL,-45.5752,-72.0662,50.0,76,75,4.61
raga,Raja,SS,8.4596,25.678,81.7,60,87,8.77
inuvik,Inuvik,CA,68.3499,-133.7218,39.2,65,100,5.75
araguaina,Araguaína,BR,-7.1911,-48.2072,86.45,54,98,5.73
sarakhs,Sarakhs,IR,36.5449,61.1577,80.6,21,0,9.22
galveston,Galveston,US,29.3669,-94.9669,78.98,65,75,11.5
kirakira,Kirakira,SB,-10.4544,161.9205,80.82,82,54,7.25
huanuco,Huánuco,PE,-9.9329,-76.2415,73.31,61,29,7.56
sandwick,Sandwick,GB,60.0,-1.25,48.2,93,90,6.91
vuktyl,Vuktyl,RU,63.8567,57.3094,59.56,68,62,8.01
mandalgovi,Mandalgovi,MN,45.7625,106.2708,52.72,25,23,7.72
kjollefjord,Kjøllefjord,NO,70.9457,27.3465,37.4,75,75,11.5
zmiyiv,Zmiyiv,UA,49.6966,36.3611,73.2,38,0,8.95
ribeira grande,Ribeira Grande,PT,38.5167,-28.7,68.0,88,75,16.11
oga,Oga,IT,46.4631,10.347,52.93,65,75,12.66
bekhtery,Bekhtery,UA,46.251,32.2927,66.09,59,0,6.71
bowen,Bowen,AU,-20.0167,148.2333,57.2,88,0,6.82
devonport,Devonport,AU,-41.1667,146.35,43.81,81,96,10.85
haines junction,Haines Junction,CA,60.7522,-137.5108,35.6,87,100,2.3
comodoro rivadavia,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,51,0,18.41
dwarka,Dwārka,IN,22.2394,68.9678,84.42,78,99,12.5
bairiki,Bairiki Village,KI,1.3292,172.9752,82.4,78,20,10.36
batagay,Batagay,RU,67.6333,134.6333,37.69,55,22,5.26
coquimbo,Coquimbo,CL,-29.9533,-71.3436,55.4,94,90,9.22
cidreira,Cidreira,BR,-30.1811,-50.2056,65.08,67,0,5.5
thinadhoo,Thinadhoo,MV,0.5333,72.9333,82.38,73,100,14.25
kaili,Kaili,ID,-3.4626,120.2147,68.45,97,100,1.77
carbondale,Carbondale,US,37.7273,-89.2168,63.19,48,75,8.05
port keats,Port Keats,AU,-14.25,129.55,68.05,34,70,9.8
chokurdakh,Chokurdakh,RU,70.6333,147.9167,23.79,90,100,7.52
ordzhonikidze,Ordzhonīkīdze,KZ,52.4411,61.7408,77.4,24,60,6.73
koratla,Koratla,IN,18.8167,78.7167,90.7,47,100,15.5
artyom,Artyom,AZ,40.4723,50.333,69.8,60,0,9.22
lerwick,Lerwick,GB,60.1545,-1.1494,48.2,93,90,6.91
souillac,Souillac,MU,-20.5167,57.5167,77.0,78,40,14.97
the valley,The Valley,AI,18.217,-63.0578,84.42,74,20,16.11
mocuba,Mocuba,MZ,-16.8392,36.9856,74.41,71,78,4.59
el dorado,El Dorado,US,38.7666,-120.5177,56.05,56,0,1.01
kushiro,Kushiro,JP,42.975,144.3747,42.17,97,53,5.48
mahanoro,Mahanoro,MG,-19.9,48.8,73.58,84,43,0.16
beringovskiy,Beringovskiy,RU,63.05,179.3167,31.6,96,100,10.56
constitucion,Constitución,CL,-35.3333,-72.4167,61.38,66,100,8.9
lompoc,Lompoc,US,34.6391,-120.4579,50.88,87,100,5.75
olinda,Olinda,BR,-8.0089,-34.8553,82.4,61,40,17.27
garwa,Garhwa,IN,24.1833,83.8167,93.43,23,33,3.74
hailun,Hailun,CN,47.45,126.9333,51.73,57,10,9.01
srednekolymsk,Srednekolymsk,RU,67.45,153.6833,24.66,93,54,6.02
mogadishu,Mogadishu,SO,2.0371,45.3438,80.19,85,24,19.39
tela,Tela,HN,15.7833,-87.45,86.0,89,75,6.91
nizhniy kuranakh,Nizhniy Kuranakh,RU,58.8353,125.4869,40.73,58,1,1.39
sanchor,Sānchor,IN,24.7553,71.7722,94.59,22,100,9.33
karymskoye,Karymskoye,RU,51.6167,114.35,46.69,45,1,10.0
little chute,Little Chute,US,44.28,-88.3184,60.84,55,90,5.75
san quintin,San Quintín,MX,30.4833,-115.95,61.93,65,70,9.71
tocopilla,Tocopilla,CL,-22.092,-70.1979,71.73,67,6,8.23
narrabri,Narrabri,AU,-30.3167,149.7833,41.0,70,0,5.75
pontianak,Pontianak,ID,-0.0333,109.3333,78.8,94,40,1.32
komsomolskiy,Yangi Marg`ilon,UZ,40.4272,71.7189,71.6,37,0,4.61
ahipara,Ahipara,NZ,-35.1667,173.1667,55.92,89,2,3.98
pisco,Pisco,PE,-13.7,-76.2167,66.54,82,40,9.22
cabedelo,Cabedelo,BR,-6.9811,-34.8339,77.0,88,75,16.11
rio grande,Rio Grande,BR,-32.035,-52.0986,66.96,52,0,3.44
cornwall,Cornwall,CA,45.0181,-74.7281,70.93,23,1,6.91
eenhana,Eenhana,NA,-17.4667,16.3333,77.43,26,4,3.98
ca mau,Ca Mau,VN,9.1769,105.15,82.71,76,85,3.47
la sarre,La Sarre,CA,48.8002,-79.1996,60.19,58,79,6.85
san patricio,San Patricio,US,28.017,-97.5169,78.93,78,90,16.11
maloy,Måløy,NO,61.9353,5.1136,56.7,71,90,4.61
yeniseysk,Yeniseysk,RU,58.4497,92.1703,39.72,69,86,5.66
sarangani,Sarangani,PH,5.4033,125.4636,83.77,77,90,16.73
naron,Narón,ES,43.5167,-8.1528,63.45,94,75,10.36
gat,Kiryat Gat,IL,31.61,34.7642,73.99,53,0,10.18
hakodate,Hakodate,JP,41.7758,140.7367,52.36,81,97,3.91
tazovskiy,Tazovsky,RU,67.4667,78.7,17.89,88,69,4.76
cermik,Çermik,TR,38.1361,39.4493,82.4,20,0,5.75
saint-joseph,Saint-Joseph,RE,-21.3667,55.6167,74.43,73,18,18.41
kutum,Kutum,SD,14.2,24.6667,91.2,6,5,6.87
duyun,Duyun,CN,26.2667,107.5167,73.27,89,26,9.19
lahij,Muhafazat Lahij,YE,13.1667,44.5833,87.17,41,87,15.28
malanje,Malanje,AO,-9.5402,16.341,72.55,64,67,1.92
madang,Madang,PG,-5.2246,145.7966,79.05,91,69,2.35
sangar,Sangar,RU,63.9242,127.4739,45.01,57,52,7.7
kampot,Kampot,KH,10.6167,104.1833,78.8,94,40,3.44
mitu,Mitú,CO,1.1983,-70.1733,73.74,98,100,1.32
fujinomiya,Fujinomiya,JP,35.2167,138.6167,65.03,75,100,1.01
petropavlovsk-kamchatskiy,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,69,6,6.71
morozovsk,Morozovsk,RU,48.3539,41.8261,79.16,56,6,2.24
grindavik,Grindavik,IS,63.8424,-22.4338,44.6,45,75,4.61
arinos,Arinos,BR,-15.9169,-46.1056,87.21,31,36,2.93
nombre de dios,Nombre de Dios,MX,23.85,-104.2333,71.29,33,40,2.3
pochutla,Pochutla,MX,15.7432,-96.4661,93.27,49,40,9.22
sao filipe,São Filipe,CV,14.8961,-24.4956,75.61,66,30,5.19
yermekeyevo,Yermekeyevo,RU,54.0761,53.6712,73.67,43,40,6.31
kurilsk,Kuril'sk,RU,45.2333,147.8833,39.47,93,100,15.05
iclod,Iclod,RO,46.9833,23.8,66.09,55,75,5.75
ilulissat,Ilulissat,GL,69.2167,-51.1,33.8,75,75,5.75
bulgan,Bulgan,MN,48.8125,103.5347,47.55,37,28,4.81
wewak,Wewak,PG,-3.5534,143.6268,81.97,84,82,6.82
lazaro cardenas,Lázaro Cárdenas,MX,17.9583,-102.2,87.69,56,15,2.89
zhanaozen,Zhangaözen,KZ,43.3,52.8,83.5,15,0,10.22
okhotsk,Okhotsk,RU,59.3833,143.3,34.16,97,100,11.68
bemidji,Bemidji,US,47.4736,-94.8803,60.93,59,1,4.92
kamenka,Kamenka,RU,51.3223,42.7678,71.28,70,80,4.92
wangaratta,Wangaratta,AU,-36.3667,146.3333,33.22,98,2,1.01
vitry-le-francois,Vitry-le-François,FR,48.7333,4.5833,55.44,62,59,9.22
kropotkin,Kropotkin,RU,45.4375,40.5756,78.01,56,12,2.77
fortuna,Fortuna,US,40.5982,-124.1573,47.5,100,90,4.61
amboasary,Amboasary,MG,-25.0333,46.3833,77.0,83,0,18.41
grand gaube,Grand Gaube,MU,-20.0064,57.6608,77.0,72,11,3.0
gizo,Gizo Government Station,SB,-8.103,156.8419,82.58,76,72,6.17
cobija,Cobija,BO,-11.0267,-68.7692,88.48,46,27,3.29
mehamn,Mehamn,NO,71.0357,27.8492,37.4,75,75,11.5
yar-sale,Yar-Sale,RU,66.8333,70.8333,22.87,89,81,6.44
teguldet,Tegul'det,RU,57.3064,88.1667,47.41,94,97,4.59
damghan,Dāmghān,IR,36.1683,54.348,73.6,29,97,5.95
mizque,Mizque,BO,-17.941,-65.3402,72.37,46,37,4.76
corinto,Corinth,GR,37.9407,22.9573,67.62,65,70,5.03
hirara,Hirara,JP,24.8,125.2833,79.36,91,56,16.22
jojoima,Jojoima,SL,7.8792,-10.7878,87.71,63,91,3.58
solnechnyy,Solnechnyy,RU,50.7214,136.6319,44.92,80,18,9.8
henties bay,Henties Bay,NA,-22.116,14.2845,66.7,71,0,11.83
saint-georges,St. George's,GD,12.0564,-61.7485,86.0,70,20,23.02
bambous virieux,Bambous Virieux,MU,-20.3428,57.7575,77.0,78,40,14.97
dunmore town,Dunmore Town,BS,25.5,-76.65,77.63,74,37,14.65
sao jose da coroa grande,São José da Coroa Grande,BR,-8.8978,-35.1478,81.93,67,64,11.5
tuy hoa,Tuy Hoa,VN,13.0833,109.3,79.11,91,9,3.6
hilton head island,Hilton Head,US,32.2163,-80.7526,74.05,33,1,12.66
acton,Acton,GB,51.509,-0.2762,54.48,67,75,8.05
dehloran,Dehlorān,IR,32.6941,47.2679,96.28,12,70,1.63
college,College,US,64.8569,-147.8028,48.22,61,75,0.98
vannes,Arrondissement de Vannes,FR,47.8333,-2.5,58.62,77,75,12.66
houma,Houma,US,29.5958,-90.7195,77.52,53,1,10.36
izumo,Izumo,JP,35.3667,132.7667,69.8,83,75,14.97
whitehorse,Whitehorse,CA,60.7161,-135.0538,33.53,93,90,10.36
laguna,Laguna,US,38.421,-121.4238,56.41,71,90,8.05
brewster,Brewster,US,41.3973,-73.6171,73.2,22,1,8.05
ancud,Ancud,CL,-41.8697,-73.8203,49.23,100,75,2.3
gaziantep,Gaziantep,TR,37.0594,37.3825,80.6,39,0,10.36
khorramshahr,Khorramshahr,IR,30.4397,48.1664,105.8,11,0,9.22
skelleftea,Skellefteå,SE,64.7507,20.9528,52.52,81,90,11.5
bumba,Bumba,CD,2.1833,22.4667,77.23,83,99,1.86
nioro,Nioro,GM,13.35,-15.75,106.68,10,91,5.41
male,Malé,MV,4.1748,73.5089,82.4,89,75,20.71
damphu,Damphu,BT,27.0721,90.1096,63.52,88,14,4.63
west lafayette,West Lafayette,US,40.4259,-86.9081,69.96,25,1,8.05
luena,Luena,AO,-11.7833,19.9167,80.6,57,0,3.96
saint-augustin,Saint-Augustin,CA,51.226,-58.6502,47.14,56,99,14.23
townsville,Townsville,AU,-19.25,146.8,60.8,100,0,5.14
beyneu,Beyneu,KZ,45.3167,55.2,83.1,19,2,16.46
marsh harbour,Marsh Harbour,BS,26.5412,-77.0636,77.07,71,16,17.85
tazmalt,Tazmalt,DZ,36.3868,4.3989,86.38,20,39,7.43
carutapera,Carutapera,BR,-1.195,-46.02,74.39,96,100,4.0
nishihara,Nishihara,JP,26.1842,127.7558,78.62,89,75,11.5
mountain home,Mountain Home,US,43.133,-115.6912,60.8,36,40,8.05
dunedin,Dunedin,NZ,-45.8742,170.5036,45.0,81,100,5.01
rio gallegos,Río Gallegos,AR,-51.6226,-69.2181,46.4,100,75,10.36
turukhansk,Turukhansk,RU,65.8167,87.9833,20.82,87,31,10.13
